word llm_surp
What 8.227356910705566
did 6.956744194030762
the 3.439497470855713
anesthesiologist 18.90551482141018
wonder 13.193914413452148
whether 10.477685928344727
the 2.839301347732544
best 8.207880973815918
surgeon 9.229015350341797
of 6.186520576477051
the 2.9280354976654053
hospital 11.199115753173828
had 4.571874141693115
committed 11.821992874145508
? 12.359742164611816
What 8.227356910705566
did 6.956744194030762
the 3.439497470855713
publisher 13.254867553710938
wonder 14.230561256408691
whether 10.757454872131348
the 2.7307345867156982
author 7.866458892822266
had 3.470163345336914
already 6.929205894470215
finished 6.2300639152526855
? 9.93932056427002
Who 10.729805946350098
does 6.226425647735596
the 3.1445705890655518
secretary 12.382701873779297
wonder 16.520492553710938
whether 6.607069969177246
the 2.7030484676361084
daughter 10.85098934173584
of 0.49704355001449585
the 2.843005418777466
congresswoman 15.169713474810123
agreed 14.935521125793457
with 1.5416584014892578
? 12.268922805786133
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
zookeeper 20.37819531559944
wonder 15.778517723083496
whether 8.049403190612793
the 2.798401117324829
lion 9.972210884094238
attacked 13.587778091430664
? 11.808978080749512
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
pianist 18.967835068702698
wonder 13.461568832397461
whether 8.578088760375977
two 11.136683464050293
hours 8.334407806396484
of 1.218449592590332
piano 4.399298191070557
practice 1.6583212614059448
per 6.368945598602295
day 1.3062453269958496
can 4.1155314445495605
lead 5.56317138671875
to 0.15938551723957062
? 8.904488563537598
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
actor 13.699390411376953
wonder 13.305695533752441
whether 8.128249168395996
the 3.1146326065063477
famous 11.559915542602539
scholar 14.230191230773926
wrote 10.303596496582031
? 8.97761344909668
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
janitor 17.30876912921667
wonder 15.684513092041016
whether 7.999747276306152
a 4.723721981048584
bottle 11.81382942199707
of 0.46099209785461426
bleach 8.127503395080566
can 4.2017412185668945
remove 6.6900105476379395
? 10.331412315368652
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
spy 15.413163185119629
wonder 13.285036087036133
whether 7.967506408691406
the 2.9252572059631348
commander 12.701408386230469
of 1.684222936630249
the 1.242234706878662
special 10.187993049621582
forces 0.516826331615448
initiated 16.163494110107422
? 12.294270515441895
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
zoologist 20.53312921524048
wonder 12.92109203338623
whether 8.944268226623535
the 2.5242319107055664
mating 13.575450897216797
call 9.046175956726074
of 2.01576828956604
the 2.913306951522827
Gray 15.106204986572266
Catbird 16.41205358505249
resembles 8.626583099365234
? 10.718977928161621
Who 10.729805946350098
does 6.226425647735596
the 3.1445705890655518
pilot 12.731949806213379
wonder 15.179088592529297
whether 6.652110576629639
the 3.0099732875823975
description 15.523778915405273
of 0.8156819939613342
the 1.353224754333496
hijacker 15.157298564910889
matches 10.898917198181152
? 10.251728057861328
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
carpenter 21.195941925048828
wonder 14.36247730255127
whether 8.62824821472168
the 2.679776668548584
sister 15.778130531311035
of 1.7077594995498657
the 2.212703227996826
mayor 8.761507987976074
will 4.704516887664795
order 10.804424285888672
? 13.829540252685547
Who 10.729805946350098
do 6.0954766273498535
the 7.086714744567871
activists 11.293787002563477
wonder 15.570186614990234
whether 6.84432315826416
government 10.019881248474121
officials 4.954509735107422
bribed 15.77590799331665
? 13.991576194763184
What 8.227356910705566
did 6.956744194030762
the 3.439497470855713
pharmacist 15.503392338752747
wonder 15.00277328491211
whether 10.954222679138184
a 4.710019588470459
pack 11.548335075378418
of 0.17274540662765503
painkillers 11.534974932670593
could 3.230586528778076
cause 4.330535888671875
? 12.979098320007324
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
biologist 16.593332290649414
wonder 11.645389556884766
whether 8.25359058380127
researchers 12.346162796020508
will 4.843294620513916
eventually 5.4456787109375
find 3.59120774269104
? 13.445110321044922
What 8.227356910705566
does 4.618374347686768
the 2.9918620586395264
teacher 12.673096656799316
wonder 14.66729736328125
whether 7.789004802703857
the 2.853804111480713
boy 7.27561616897583
found 10.775333404541016
? 13.409811973571777
