Time results were received.,MD5 hash that hopefully uniquely identifies participant.,Controller name.,Item_number.,Element number.,Type.,gapping,argument_structure,Group.,Sentence (or sentence MD5).,Question (NULL if none).,Answer.,Whether or not answer was correct (NULL if N/A).,Time taken to answer.,Field name.,Field value.,Field name._02,Field value._02,Field name._03,Field value._03,Field name._04,Field value._04,Field name._05,Field value._05,Field name._06,Field value._06,Field name._07,Field value._07,Field name._08,ID,Field name._09,Field value._09,Field name._10,Field value._10
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,124,0,locative-match-nogap,no_gapping,match,27,William loaded the cargo onto the boat%2C and Lauren loaded the sack onto the truck.,NULL,7,NULL,4979,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,114,0,locative-match-gap,gapping,match,25,Daniel smeared cream cheese on a bagel%2C and Elizabeth peanut butter on a cracker.,NULL,7,NULL,8077,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,119,0,locative-mismatch-gap,gapping,mismatch,26,Tyler splashed water on his face%2C and Taylor her canvas with paint.,NULL,7,NULL,18347,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,97,0,locative-mismatch-nogap,no_gapping,mismatch,20,Joshua heaped salad on the plate%2C and Ashley heaped the tray with bread.,NULL,7,NULL,4866,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,140,0,locative-match-nogap,no_gapping,match,31,Zachary scattered flower seeds over his front yard%2C and Brianna scattered garbage over her backyard.,NULL,7,NULL,8581,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,130,0,locative-match-gap,gapping,match,29,Ryan sprayed disinfectant on the tables%2C and Kayla pesticide on the flowers.,NULL,6,NULL,48118,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,135,0,locative-mismatch-gap,gapping,mismatch,30,John piled the pillows on the bed%2C and Abigail the sofa with cushions.,NULL,7,NULL,4103,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,113,0,locative-mismatch-nogap,no_gapping,mismatch,24,Joseph slathered sunscreen on his body%2C and Jessica slathered her face with moisturizer.,NULL,7,NULL,3457,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,92,0,locative-match-nogap,no_gapping,match,19,Matthew daubed graffiti on the wall%2C and Madison daubed paint on the statue.,NULL,7,NULL,3284,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,82,0,locative-match-gap,gapping,match,17,Jacob brushed milk over the pastry%2C and Emily oil over the dough.,NULL,7,NULL,3605,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,87,0,locative-mismatch-gap,gapping,mismatch,18,Michael crammed food into his mouth%2C and Hannah her bag with books.,NULL,1,NULL,37705,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,145,0,locative-mismatch-nogap,no_gapping,mismatch,32,David stuffed the coins into his pocket%2C and Olivia stuffed her purse with the bills.,NULL,7,NULL,3527,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,108,0,locative-match-nogap,no_gapping,match,23,Andrew packed camping gear into his duffel bag%2C and Samantha packed school supplies into her backpack.,NULL,7,NULL,4098,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,98,0,locative-match-gap,gapping,match,21,The doctor injected the medication into Christopher’s spine%2C and the nurse the vaccine into Sarah’s arm.,NULL,7,NULL,4089,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,103,0,locative-mismatch-gap,gapping,mismatch,22,Nicholas jammed clothes into the suitcase%2C and Alexis the briefcase with papers.,NULL,7,NULL,3994,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915138,df111eb557c3ec9d0844aa49c6d18317,AcceptabilityJudgment,129,0,locative-mismatch-nogap,no_gapping,mismatch,28,Brandon sprinkled salt over the meat%2C and Alyssa sprinkled the cake with sugar.,NULL,7,NULL,3134,consent,yes,_REACTION_TIME_,57472,_REACTION_TIME_,2930,age,32,write_something,NewYork,gender,male,_REACTION_TIME_,56569,id,612e62a4f3ae5cd2e734f4f2,id,612e62a4f3ae5cd2e734f4f2,_REACTION_TIME_,18377
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,112,0,locative-match-nogap,no_gapping,match,24,Joseph slathered sunscreen on his body%2C and Jessica slathered moisturizer on her face.,NULL,6,NULL,7769,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,133,0,locative-mismatch-nogap,no_gapping,mismatch,29,Ryan sprayed disinfectant on the tables%2C and Kayla sprayed the flowers with pesticide.,NULL,6,NULL,6618,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,139,0,locative-mismatch-gap,gapping,mismatch,31,Zachary scattered flower seeds over his front yard%2C and Brianna her backyard with garbage.,NULL,1,NULL,6372,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,86,0,locative-match-gap,gapping,match,18,Michael crammed food into his mouth%2C and Hannah books into her bag.,NULL,5,NULL,5839,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,128,0,locative-match-nogap,no_gapping,match,28,Brandon sprinkled salt over the meat%2C and Alyssa sprinkled sugar over the cake.,NULL,7,NULL,4577,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,85,0,locative-mismatch-nogap,no_gapping,mismatch,17,Jacob brushed milk over the pastry%2C and Emily brushed the dough with oil.,NULL,4,NULL,4232,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
1630915679,0b326911048f1b4435d38fbda44860d9,AcceptabilityJudgment,107,0,locative-mismatch-gap,gapping,mismatch,23,Andrew packed camping gear into his duffel bag%2C and Samantha her backpack with school supplies.,NULL,6,NULL,3781,consent,yes,_REACTION_TIME_,21218,_REACTION_TIME_,7419,age,26,write_something,New York%0AVirginia ,gender,male,_REACTION_TIME_,25777,id,5f26660b85d14639077cdca4,id,5f26660b85d14639077cdca4,_REACTION_TIME_,14490
