Time results were received.,MD5 hash that hopefully uniquely identifies participant.,Controller name.,Item_number.,Element number.,Type.,match_cond,second_conjunct_arg,Group.,Sentence (or sentence MD5).,Question (NULL if none).,Answer.,Whether or not answer was correct (NULL if N/A).,Time taken to answer.,Field name.,Field value.,Field name._02,Field value._02,Field name._03,Field value._03,Field name._04,ID,Field name._05,Field value._05,Field name._06,Field value._06
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,337,0,dative-mismatch2,mismatch,PP,80,Kevin taught the adults English%2C and Amanda Spanish to the children.,NULL,6,NULL,3537,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,295,0,dative-match2,match,DO,70,Christian sent his grandfather a card%2C and Anna her grandmother flowers.,NULL,5,NULL,3306,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,332,0,dative-mismatch1,mismatch,DO,79,Cameron told the story to his friends%2C and Nicole her parents the news.,NULL,5,NULL,6428,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,290,0,dative-match1,match,PP,69,Jonathan bequeathed the land to his son%2C and Rachel the mansion to her daughter.,NULL,6,NULL,3136,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,305,0,dative-mismatch2,mismatch,PP,72,Dylan mailed the buyers the catalogues%2C and Destiny the brochures to the clients.,NULL,5,NULL,5505,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,311,0,dative-match2,match,DO,74,Benjamin tossed his girlfriend his wallet%2C and Jennifer her boyfriend her bag.,NULL,5,NULL,4671,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,284,0,dative-mismatch1,mismatch,DO,67,Justin lent his car to his brother%2C and Grace her sister her bicycle.,NULL,5,NULL,1795,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,274,0,dative-match1,match,PP,65,Anthony gave a book to his nephew%2C and Emma a doll to her niece.,NULL,5,NULL,3807,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,321,0,dative-mismatch2,mismatch,PP,76,Samuel read his father the letter%2C and Haley the poem to her mother.,NULL,5,NULL,1711,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
1624523305,c7c95b0f1489e5075a5ac7e45fbe3c6a,AcceptabilityJudgment,327,0,dative-match2,match,DO,78,Nathan threw the boy a ball%2C and Kaitlyn the dog a Frisbee.,NULL,5,NULL,3661,consent,yes,_REACTION_TIME_,47429,_REACTION_TIME_,3854,id,60d32756306145d9a7421191,id,60d32756306145d9a7421191,_REACTION_TIME_,12351
