Time results were received.,MD5 hash that hopefully uniquely identifies participant.,Controller name.,Item_number.,Element number.,Type.,argument_structure,gapping,Group.,Sentence (or sentence MD5).,Question (NULL if none).,Answer.,Whether or not answer was correct (NULL if N/A).,Time taken to answer.,Field name.,Field value.,Field name._02,Field value._02,Field name._03,Field value._03,Field name._04,ID,Field name._05,Field value._05,Field name._06,Field value._06,Field name._07,Field value._07
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,174,0,dative-mismatch2-verb,mismatch,no_gapping,39,Austin promised the team a banquet%2C and Sydney promised a bonus to the crew.,NULL,7,NULL,9745,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,169,0,dative-match2-verb,match,no_gapping,38,Christian sent his grandfather a card%2C and Anna sent her grandmother flowers.,NULL,7,NULL,9165,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,148,0,dative-mismatch2,mismatch,gapping,33,Anthony gave his nephew a book%2C and Emma a doll to her niece.,NULL,5,NULL,8831,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,175,0,dative-match2,match,gapping,40,Dylan mailed the buyers the catalogues%2C and Destiny the clients the brochures.,NULL,2,NULL,9229,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,190,0,dative-mismatch2-verb,mismatch,no_gapping,43,Noah sold his neighbor his bike%2C and Jasmine sold her car to her roommate.,NULL,5,NULL,8201,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,185,0,dative-match2-verb,match,no_gapping,42,Benjamin tossed his girlfriend his wallet%2C and Jennifer tossed her boyfriend her bag.,NULL,5,NULL,16409,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,164,0,dative-mismatch2,mismatch,gapping,37,Jonathan bequeathed his son the land%2C and Rachel the mansion to her daughter.,NULL,4,NULL,12078,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,159,0,dative-match2,match,gapping,36,Alexander passed his wife the salt%2C and Victoria her husband the pepper.,NULL,4,NULL,12687,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,158,0,dative-mismatch2-verb,mismatch,no_gapping,35,Justin lent his brother his car%2C and Grace lent her bicycle to her sister.,NULL,5,NULL,12439,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
1632725788,111335414402ec37df277e6ef349cc94,AcceptabilityJudgment,201,0,dative-match2-verb,match,no_gapping,46,Nathan threw the boy a ball%2C and Kaitlyn threw the dog a Frisbee.,NULL,5,NULL,6044,consent,yes,_REACTION_TIME_,46160,_REACTION_TIME_,15517,id,61515a6d194cefdc13e931e7,id,61515a6d194cefdc13e931e7,_REACTION_TIME_,21310,,
